# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 2.596260425769322255e-01 2.221691747808021145e-01 1.031362132834452661e+00
1.000000000000000000e+03 1.885721249895110877e-04 2.013176823744328213e-04 3.104632804146275488e-02
2.000000000000000000e+03 6.773092792854677616e-05 9.320582521861841391e-05 2.112471259218405215e-02
3.000000000000000000e+03 2.358407588025084354e-05 5.111766598121330441e-05 1.564425149188207118e-02
4.000000000000000000e+03 7.656019690354421570e-06 3.253394904844777503e-05 1.248066344425453195e-02
5.000000000000000000e+03 1.962752525998492478e-05 4.067097808660572790e-05 1.395441354648455611e-02
6.000000000000000000e+03 6.760198256726533098e-07 2.003029468304662385e-05 9.792936767715341301e-03
7.000000000000000000e+03 3.062313190197027574e-07 1.936746273192635682e-05 9.629542304938858502e-03
8.000000000000000000e+03 1.243900142625321068e-07 1.838228426454015783e-05 9.381429513413220081e-03
9.000000000000000000e+03 6.233595002518108556e-08 1.780737081001558769e-05 9.233560139084214663e-03
1.000000000000000000e+04 3.494335062350182130e-06 2.271227472306921625e-05 1.042796578009667387e-02
